number,name,votes,electronic,abroad,mandate,district,party
713,Edgar Savisaar,25057,1835,59,Isikumandaat,2,Eesti Keskerakond
297,Taavi Rõivas,15881,6423,26,Isikumandaat,4,Eesti Reformierakond
768,Yana Toom,11574,746,1,Isikumandaat,7,Eesti Keskerakond
702,Mihhail Kõlvart,10996,869,16,Isikumandaat,1,Eesti Keskerakond
737,Jüri Ratas,7932,1102,11,Isikumandaat,4,Eesti Keskerakond
287,Urmas Paet,7868,3423,21,Isikumandaat,3,Eesti Reformierakond
377,Toomas Kivimägi,7603,2511,12,Isikumandaat,12,Eesti Reformierakond
612,Artur Talvik,7308,3293,12,Isikumandaat,4,Eesti Vabaerakond
337,Jürgen Ligi,6757,2523,8,Isikumandaat,8,Eesti Reformierakond
252,Mart Helme,6714,1516,10,Isikumandaat,12,Eesti Konservatiivne Rahvaerakond
346,Urmas Kruuse,5960,2086,3,Isikumandaat,9,Eesti Reformierakond
356,Ants Laaneots,5920,2048,17,Isikumandaat,10,Eesti Reformierakond
817,Kadri Simson,5726,646,9,Isikumandaat,12,Eesti Keskerakond
273,Keit Pentus-Rosimannus,5716,2846,18,Ringkonnamandaat,2,Eesti Reformierakond
862,Sven Mikser,4969,1830,8,Ringkonnamandaat,4,Sotsiaaldemokraatlik Erakond
262,Kristen Michal,4766,2394,11,Ringkonnamandaat,1,Eesti Reformierakond
172,Henn Põlluaas,4309,1283,10,Ringkonnamandaat,4,Eesti Konservatiivne Rahvaerakond
162,Martin Helme,4296,1205,22,Kompensatsioonimandaat,3,Eesti Konservatiivne Rahvaerakond
588,Andres Herkel,4227,1941,14,Ringkonnamandaat,2,Eesti Vabaerakond
422,Juhan Parts,4208,1648,10,Ringkonnamandaat,4,Erakond Isamaa ja Res Publica Liit
357,Anne Sulling,4197,1877,7,Ringkonnamandaat,10,Eesti Reformierakond
852,Rainer Vakra,4132,1383,5,Ringkonnamandaat,3,Sotsiaaldemokraatlik Erakond
313,Urve Tiidus,4117,1554,10,Ringkonnamandaat,5,Eesti Reformierakond
