Reg nr,Kandidaat,Kokku,Hääled välisriigist,E-hääled
101,Veronika Isberg,55,1,21
102,Vadim Šaptšenko,20,1,5
103,Aimar Jukkum,14,0,4
137,Urmas Espenberg,2087,8,646
138,Nele Valgepea,281,0,94
147,Maret Jõgi,130,1,50
141,Riho Rausma,116,0,30
143,Annika Soots,101,1,21
139,Taivo Põrk,83,0,21
146,Rein Pika,57,0,8
145,Urmas Siemer,47,0,11
140,Nikolai Jakobišvili,28,1,8
142,Marika Istahl,28,0,6
144,Aleksander Tšernikov,28,0,5
262,Kristen Michal,4766,11,2394
263,Heidy Purga,3283,13,1795
265,Vilja Savisaar-Toomast,2395,5,1115
264,Remo Holsmer,1385,3,780
266,Tiina Lokk-Tramberg,977,1,568
267,Ants Leemets,570,4,286
271,Andres Aro,206,0,95
270,Liina Hermaküla,184,0,85
269,Karin Pärtel,150,2,82
268,Tatjana Muravjova,144,1,68
272,Gerol Silkin,89,0,45
387,Ken-Marti Vaher,2313,9,963
388,Liisa-Ly Pakosta,1808,13,894
389,Tarmo Kruusimäe,1260,4,618
395,Tiit Meren,292,1,158
391,Diana Ingerainen,288,0,146
390,Maksim Rogalski,278,0,73
394,Avo Üprus,247,2,80
393,Tiia Sihver,233,5,111
397,Tiit Riisalo,229,0,114
392,Imre Rammul,158,1,75
396,Henrik Aavik,87,0,47
512,Olev-Andres Tinn,247,2,113
514,Eero Uustalu,85,0,37
517,Mihkel Veskimägi,69,0,24
516,Piret Käige,62,1,24
515,Raivo Juurak,39,0,17
513,Andrei Gudim,37,0,11
552,Victor Polyakoff,16,0,2
555,Jekaterina Kravtsova,11,0,1
553,Diana Vinogradova,9,0,0
554,Ada Leist,3,0,0
577,Neeme Kuningas,2432,7,1081
578,Külliki Kübarsepp,1032,5,545
579,Ants Miller,227,0,119
581,Tõnu Teeveer,210,0,116
580,Lii Ramjalg,192,0,99
583,Georg Kirsberg,179,0,103
586,Kuido Merits,87,0,46
582,Ivika Puust,70,1,30
587,Jaanus Paasoja,59,0,29
584,Peeter Kõluvere,50,0,19
585,Magomed Murtuzaliev,19,0,14
702,Mihhail Kõlvart,10996,16,869
703,Viktor Vassiljev,1862,2,206
712,Märt Sults,1285,1,131
707,Andrei Novikov,1096,2,90
706,Karin Tammemägi,881,0,66
708,Marek Jürgenson,687,4,107
704,Kalev Kallo,575,2,55
711,Anton Stalnuhhin,491,0,62
705,Lauri Laasi,407,0,40
710,Enno Tamm,346,0,55
709,Irina Antonjuk,290,3,27
827,Eiki Nestor,3744,10,1678
829,Aleksei Turovski,1787,3,758
828,Marianne Mikko,859,9,402
830,Jaak Juske,476,0,234
837,Katrin Saks,291,0,138
831,Sirje Keevallik,166,0,100
833,Sandra Kamilova,126,1,67
832,Maris Sild,87,0,45
835,Tiia Tiik,78,0,37
834,Raiko Puustusmaa,56,1,24
836,Heinart Puhkim,48,0,13
952,Raivo Orgusaar,107,0,23
970,Svetlana Ivnitskaja,46,0,8
107,Kerli Green,43,0,16
104,Aleksandr Apolinsky,38,0,5
105,Beatrice Fenice,25,1,6
106,Marita Pitk,15,0,4
148,Mare Liiger,1924,4,499
154,Raul Öpik,265,0,98
157,Rein Tölp,225,2,57
152,Toomas Rull,205,2,58
151,Gunnar Stahl,155,1,44
149,Kairet Grassmann,132,0,55
150,Orhan Oktain,125,1,45
153,Veiko Hartwig Valgepea,87,0,43
158,Alar Ehala,68,0,27
160,Triin Van Doorslaer,53,0,19
161,Veiko Krass,49,0,21
155,Riho Nüüd,44,1,12
159,Juhan Kobin,35,0,10
156,Olev Piir,29,0,8
273,Keit Pentus-Rosimannus,5716,18,2846
274,Arto Aas,2517,1,1491
278,Imre Sooäär,2102,5,1110
280,Ivi Eenmaa,1407,8,688
276,Urmas Sutrop,1109,0,616
277,Ülle Rajasalu,1066,2,519
275,Nikolai Novosjolov,1016,2,501
279,Kalev Kallemets,423,1,218
285,Kalev Kukk,256,0,150
281,Eve Pärnaste,183,1,96
282,Georg Aher,174,0,104
286,Taavi Toppi,131,0,68
284,Toomas Viks,95,0,58
283,Olga Ašihmina,40,0,25
398,Viktoria Ladõnskaja,1393,1,747
399,Sven Sester,1392,2,629
411,Juku-Kalle Raid,1257,4,655
400,Erki Nool,1020,7,409
402,Riina Solman,810,1,329
404,Lagle Parek,569,7,245
405,Priidu Pärna,381,1,219
401,Hendrik Agur,336,1,188
403,Kalev Vapper,264,2,137
407,Madis Päts,194,3,91
409,Illimar Leppik Von Wirén,160,15,78
408,Linda Eichler,133,0,84
410,Sülvi Sarapuu,87,0,38
406,Reet Trei,62,1,28
518,Aleksander Laane,404,2,145
520,Küllike Reimaa,104,1,42
519,Darja Vorontsova,43,0,17
522,Evald Langebraun,37,0,9
521,Serge Tjurin,10,0,4
556,Valev Kald,30,0,7
558,Aleksei Davõdov,17,0,2
557,Vladimir Krutšinin,11,0,1
588,Andres Herkel,4227,14,1941
590,Monika Haukanõmm,450,1,269
589,Jevgeni Krištafovitš,446,1,250
597,Jaan Riis,236,1,111
593,Margus Maidla,131,0,74
591,Maris Meriste,127,1,54
601,Heldur-Valdek Seeder,104,0,30
600,Holger Peel,95,0,44
599,Kulno Kesküla,72,0,43
594,Jaanus Luka,69,1,41
598,Aldo Vaino,48,0,19
595,Aleksandr Dormidontov,29,0,6
596,Alar Maas,25,0,10
592,Raivo Olmet,20,0,6
713,Edgar Savisaar,25057,59,1835
714,Olga Ivanova,1948,1,217
726,Mihhail Korb,1904,1,193
715,Toomas Vitsut,503,0,74
717,Kalle Klandorf,400,0,73
722,Maria Jufereva,376,0,58
716,Elena Glebova,310,0,51
725,Nelli Privalova,228,1,36
720,Aini Härm,218,0,27
719,Tarmo Kriis,215,0,34
723,Juri Danilov,173,1,16
721,Tõnis Mölder,169,0,33
718,Taavi Aas,156,0,19
724,Helen Lausma-Saar,49,0,9
838,Andres Anvelt,3558,12,1499
839,Barbi-Jenny Pilvre-Storgard,909,8,483
851,Andrei Hvostov,740,2,329
850,Karl-Martin Sinijärv,565,5,283
841,Vadim Belobrovtsev,387,0,124
843,Ott Pärna,268,0,155
845,Siim Tuisk,268,2,165
844,Toomas Alatalu,253,1,86
842,Andra Veidemann,235,3,105
848,Tiiu Kuurme,197,2,84
840,Jelena Poverina-Tšernõh,167,1,65
846,Reet Laja,118,0,57
849,Reigo Kimmel,95,0,60
847,Jevgenia Kirilova,67,0,17
953,Lauri Liikane,58,1,8
971,Maarika Pähklemäe,82,0,24
966,Greete Reinson,42,0,18
968,Henn Leetna,42,0,8
964,Ilmar Ibragimov,26,0,6
108,Jane Snaith,41,1,17
110,Mario Märtson,19,0,8
109,Andrea Green,18,0,4
162,Martin Helme,4296,22,1205
168,Piia Paemurru,76,0,24
164,Kaarel Jaak Roosaare,51,0,18
163,Andrus Leberecht,32,0,7
170,Ivo Ratas,32,0,5
171,Kalju Mätik,24,0,4
165,Wesse Allik,21,1,6
169,Jaak Vimm,15,0,2
166,Margus Reemets,12,0,5
167,Edgar Viigimäe,11,0,1
287,Urmas Paet,7868,21,3423
288,Maris Lauri,4019,8,2250
289,Eerik-Niiles Kross,1944,9,889
291,Paul-Eerik Rummo,642,7,332
290,Martin Kukk,456,0,211
295,Eero Merilind,291,0,139
296,Õnne Pillak,203,1,113
293,Joonas Vänto,160,1,83
292,Kaido Kaaberma,131,0,58
294,Joel Jesse,70,0,32
412,Urmas Reinsalu,2949,20,1152
414,Mart Nutt,1068,7,484
413,Siim Valmar Kiisler,556,0,241
415,Evelin Samuel,268,3,107
417,Andres Öpik,198,0,108
419,Jaak Uudmäe,187,0,81
420,Tiit Papp,144,0,45
418,Andres Ergma,132,0,37
416,Urmas Mardi,108,0,49
421,Madis Kübar,86,2,41
523,Tõnu Trubetsky,347,4,120
524,Maigi Käige,65,0,36
525,Anne Artus,43,0,21
527,Allan Talu,34,0,21
526,Mikk Paris,23,0,7
559,Vladimir Drozdov,28,0,2
560,Svetlana Moskvina,11,0,1
602,Ain Lutsepp,4109,9,1755
603,Sergei Metlev,509,0,252
611,Ülo Mattheus,167,0,90
605,Tõnu Ploompuu,143,0,66
604,Anne Hansberg,126,0,59
606,Tarmo Kaldma,97,0,60
609,Eda Heinla,97,0,54
607,Taavi Simson,69,0,28
610,Jaan Mihkel Uustalu,68,0,39
608,Margus Jaago,36,0,23
730,Rein Ratas,3449,3,306
729,Erki Savisaar,1826,3,104
727,Arvo Sarapuu,1662,1,128
736,Igor Kravtšenko,1360,3,92
733,Margarita Tšernogorova,1159,2,87
735,Eduard Toman,953,0,118
728,Merike Martinson,946,0,106
731,Helle Kalda,771,1,60
732,Tiit Terik,389,0,46
734,Irina Embrich,217,0,31
852,Rainer Vakra,4132,5,1383
853,Mart Meri,788,1,355
861,Silver Meikar,738,5,315
854,Olga Sõtnik,358,1,158
857,Anto Liivat,353,0,186
855,Lauri Laats,282,0,76
856,Kadi Pärnits,245,2,109
858,Külli Urb,176,1,83
859,Jaak Kangilaski,142,0,58
860,Gerd Tarand,97,1,29
954,Merle Otsmaa,67,1,12
111,Raimo Kägu,205,0,68
112,Andrei Šaršov,40,0,17
113,Raivo Algur,25,0,9
115,Silja Trisberg,17,0,3
114,Taavi Keedus,16,0,7
172,Henn Põlluaas,4309,10,1283
173,Siim Pohlak,1128,1,232
174,Mart Järvik,323,0,94
187,Maido Pajo,298,0,97
177,Rene Kokk,180,2,47
178,Kai Rimmel,175,1,62
180,Lauri Lasimer,122,0,52
175,Paul Puustusmaa,116,0,57
185,Anett Leosk,100,0,46
179,Heino Lõiveke,97,1,17
181,Veiko Värk,50,0,16
182,Olavi Tutt,39,0,7
186,Taavi Tapu,39,0,10
176,Jüri Derkun,31,1,6
183,Olav Kruus,25,0,6
184,Toivo Kirtsi,18,0,3
297,Taavi Rõivas,15881,26,6423
300,Yoko Alender,2715,1,1379
309,Madis Milling,2580,2,1260
301,Aivar Sõerd,2047,2,1156
299,Kalle Palling,1917,1,627
298,Laine Randjärv,1698,3,715
304,Andre Sepp,679,0,232
306,Mart Võrklaev,615,0,340
305,Enno Fels,566,2,204
308,Anneliis Kõiv,549,2,281
312,Vladas Radvilavičius,401,0,204
307,Andrus Umboja,369,0,167
303,Tõnis Kõiv,355,2,186
310,Ain Täpsi,237,0,96
302,Kalev Lillo,168,1,81
311,Ena Soodla,147,0,76
422,Juhan Parts,4208,10,1648
423,Marko Mihkelson,2842,5,1525
425,Tiina Kangro,1669,2,693
426,Aivar Riisalu,1536,1,653
424,Andrus Saare,1054,1,365
428,Mari-Ann Kelam,581,4,270
429,Kaupo Rätsepp,475,1,210
437,Toomas Tõniste,462,0,216
427,Lauri Vahtre,419,7,221
430,Andres Laisk,281,1,150
436,Reet Roos,254,1,138
435,Andres Kaarmann,192,1,83
432,Tiit Leier,183,0,54
433,Jan Trei,135,0,56
434,Priit Põldmäe,101,0,36
431,Kadri Tillemann,92,0,53
528,Valdur Lahtvee,427,1,176
531,Joonas Laks,155,0,54
530,Ivar Soone,94,0,36
529,Andres Meesak,63,1,35
533,Kalju Valdmann,53,0,19
532,Ain Kabal,44,0,17
561,Georgi Bõstrov,233,0,23
562,Jevgeni Golovatš,85,0,7
563,Heino Rüütel,19,0,1
565,Madis Tänavsuu,12,0,0
564,Aleksandr Pauri,2,0,2
612,Artur Talvik,7308,12,3293
613,Alar Mutli,995,1,396
615,Aimar Altosaar,413,2,230
618,Priit Kärsna,296,0,124
614,Tiia Välk,255,1,111
620,Veiko Herodes,135,0,69
624,Urmas Kristal,113,0,34
619,Liisa Ojangu,112,0,49
617,Katrin Mesilane,110,1,52
616,Aivar Koitla,103,0,43
625,Egge Kulbok-Lattik,89,0,55
621,Ülle Lennuk,70,0,20
626,Mati Sarevet,60,0,38
622,Mart Mutso,57,0,19
627,Vahur Herm,57,0,17
623,Loit Jõekalda,37,0,19
737,Jüri Ratas,7932,11,1102
740,Vladimir Velman,1294,0,134
743,Vladimir Arhipov,838,0,63
746,Natalia Malleus,555,1,61
738,Kerstin-Oudekki Loone,354,0,64
744,Oleg Tšubarov,351,0,36
742,Jüri Võigemast,169,0,21
741,René Toomse,167,0,33
739,Värner Lootsmann,136,0,22
745,Ago Kokser,116,0,14
752,Vello Jõgisoo,100,0,26
749,Indrek Uuemaa,95,0,10
747,Peeter Rebane,88,0,24
751,Oliver Liidemann,81,0,2
748,Meelis Pai,67,0,11
750,Väino Sassi,54,0,14
862,Sven Mikser,4969,8,1830
863,Urve Palo,2028,1,709
877,Hardi Volmer,818,0,307
868,Raivo Uukkivi,578,2,192
865,Liisa Oviir,493,0,223
864,Karel Rüütli,293,0,117
866,Tiit Tammsaar,290,0,94
870,Astrid Ojasoon,287,0,84
871,Tõnis Blank,268,0,103
876,Evely Purre,160,0,47
873,Madis Roodla,146,1,46
867,Mailis Alt,137,0,53
874,Anne Leht,118,0,49
869,Stanislav Tšerepanov,111,0,24
872,Eve Kislov,108,0,30
875,Mati Õunloo,98,1,29
955,Vello Leito,133,0,16
973,Ege Hirv,110,0,26
965,Jaak Vackermann,79,0,28
116,Kaie Jaaniste,50,0,14
117,Aleks Saarnak,25,0,5
188,Helle-Moonika Helme,2399,6,627
190,Urmas Selirand,442,1,134
189,Hardi Rehkalt,359,2,122
191,Elvo Leppmaa,188,0,28
193,Meelis Malk,144,0,39
192,Rein Merila,87,0,27
195,Piret Kollo,80,0,16
194,Aivar Rohilaid,71,0,19
313,Urve Tiidus,4117,10,1554
314,Kalle Laanet,2388,4,934
316,Tarmo Mänd,1233,2,385
315,Lauri Luik,855,3,313
318,Urmas Sukles,661,2,250
319,Koit Kelder,529,0,237
317,Kairi Uustulnd,497,0,269
320,Innar Mäesalu,209,0,63
438,Raivo Aeg,2001,12,618
439,Tõnis Palts,1033,8,351
441,Kaido Kaasik,478,2,169
442,Georg Linkov,344,1,143
440,Merle Mäesalu,289,3,104
444,Alar Schönberg,277,2,85
443,Raimond Lunev,269,1,65
445,Toomas Takkis,247,1,107
535,Aleksei Lotman,430,1,228
534,Kristen Kannik,160,1,68
566,Inna Kald,15,0,1
628,Andres Ammas,1859,5,718
629,Enn Meri,1619,2,600
631,Jüri Lember,267,0,127
635,Rinno Lige,202,0,90
630,Mikko Nõukas,157,0,48
632,Arles Taal,72,0,35
634,Jaan Laats,63,0,18
633,Olev Vaher,58,0,33
753,Enn Eesmaa,2219,2,275
754,Jaanus Karilaid,1056,1,106
758,Mart Mäeker,321,0,48
755,Janne Nurmik,245,2,42
760,Jüri Kuuskemaa,202,0,41
757,Ants Vahtras,192,0,28
759,Harald Tõru,68,1,8
756,Andres Kampmann,65,0,18
878,Hannes Hanso,2038,3,823
879,Neeme Suur,1213,2,375
880,Kalev Kotkas,649,0,243
883,Reili Rand,342,0,154
885,Raimu Aardam,315,2,79
881,Veeve Kaasik,232,0,54
884,Arno Peksar,132,0,40
882,Jaanus Sahk,97,0,24
956,Olev Ait,113,1,28
118,Kristiina Ojuland,273,0,69
120,Õnnela Raudsepp,39,0,5
119,Allan Jaakus,12,0,2
196,Anti Poolamets,2080,3,533
199,Uno Trumm,102,1,32
202,Kalmer Kalaus,96,0,19
198,Aigar Põder,83,1,31
200,Arno Pikhof,63,0,10
197,Are Saarne,46,0,13
201,Kristjan Siimson,22,0,4
321,Valdo Randpere,3170,7,1161
323,Marko Torm,1165,2,381
322,Signe Kivi,995,1,387
324,Toomas Varek,907,2,278
327,Indrek Kesküla,532,4,151
325,Leo Aadel,255,0,85
326,Kaido Veski,223,0,64
446,Marko Pomerants,2681,5,936
447,Einar Vallbaum,1044,1,283
448,Mihkel Juhkami,352,4,135
452,Tauno Toompuu,310,0,98
450,Ain Suurkaev,297,0,93
451,Hannes Mets,228,1,69
449,Helle Noorväli,215,1,80
536,Agu Kivimägi,124,0,55
537,Reigo Lehtla,75,0,30
567,Tõnu Veeremaa,17,0,3
636,Emil Rutiku,1243,3,416
637,Elmu Koppelmann,469,1,196
642,Heiki Hallik,241,0,80
639,Marika Tali,104,0,30
640,Kristo Krumm,95,0,41
638,Rein Kotšin,33,0,20
641,Veana Heinmets,19,0,6
761,Siret Kotka,2558,4,210
762,Toomas Väinaste,773,0,95
766,Andres Sõber,530,1,91
764,Jelena Fjodorova,455,1,61
767,Urmas Tamm,365,1,44
763,Andres Jaadla,298,0,36
765,Jaanus Mutli,262,1,31
886,Rannar Vassiljev,2172,3,623
887,Kairit Pihlak,537,0,174
888,Eerik Lumiste,371,1,92
889,Ene Augasmägi,342,0,80
892,Maimu Berg,299,1,105
891,Garri Raagmaa,214,0,94
890,Paul Lettens,65,0,17
957,Toomas Tamm,83,0,14
121,Evelyn Danilov,97,0,19
122,Arnold Persidski,43,0,11
123,Ljubov Dorošenko,34,1,2
203,Arno Kodu,693,0,200
204,Mari-Liis Lillemets,141,0,36
207,Mart Kalaus,95,0,15
205,Kai Ird,52,0,19
206,Ksenia Võhma,29,0,9
208,Lauri Õun,19,2,4
211,Tanel Liiva,18,0,3
209,Lauri Karp,15,0,4
210,Piret Janis,6,0,1
328,Deniss Boroditš,769,1,188
331,Aivar Surva,754,0,222
330,Rein Aidma,655,0,227
332,Aivar Saarela,535,0,183
334,Tiit Kuusmik,438,1,126
336,Ain Seppik,326,0,93
329,Toivo Asmer,296,1,103
335,Enno Vinni,243,0,84
333,Aime Keis,98,0,34
453,Anvar Samost,761,0,293
460,Tauno Võhmar,716,0,271
454,Kaja Kreisman,421,1,140
461,Tunne-Väldo Kelam,260,1,83
456,Janek Raik,180,2,38
459,Artur Põld,147,0,34
457,Risto Lindeberg,119,0,27
455,Ants Pauls,118,0,30
458,Aivo Tamm,104,0,19
538,Aleksander Pototski,57,0,19
539,Allan Selin,43,0,13
568,Viktor Malõgin,58,0,7
643,Peeter Kapten,265,1,105
646,Tamara Luigas,197,0,19
644,Inna Rose,108,0,38
645,Jüri Soone,73,0,37
647,Olav Kivirand,58,0,22
651,Avo Blankin,55,0,18
649,Yury Gordeev,26,0,10
648,Evhen Tsybulenko,25,0,9
650,Eino Muruste,18,0,6
768,Yana Toom,11574,1,746
769,Mihhail Stalnuhhin,3648,1,227
776,Martin Repinski,1556,0,124
770,Valeri Korb,1046,1,90
774,Dmitri Dmitrijev,677,0,57
773,Eevi Paasmäe,639,1,42
771,Eldar Efendijev,607,0,77
772,Tarmo Tammiste,429,1,55
775,Riho Kutsar,152,0,16
893,Jevgeni Ossinovski,2784,2,589
894,Etti Kagarov,569,1,178
895,Jaak Allik,369,1,93
898,Kristina Kallas,291,0,64
900,Ants Kutti,254,0,79
901,Toomas Nõmmiste,251,0,92
897,Inna Nazarova,207,0,30
896,Eduard Odinets,173,0,49
899,Genadi Afanassjev,37,0,7
958,Hele Kängsepp,54,0,10
124,Pavo Raudsepp,109,0,28
126,Ott Kukk,80,0,28
125,Ramo Pener,16,0,6
212,Jaak Madison,1883,2,443
215,Enn Sarv,441,2,121
213,Rein Suurkask,197,0,28
214,Marve Piip,124,0,39
220,Helgi Liik,101,0,14
216,Tarmo Hints,99,0,26
217,Raivo Asuküla,94,0,28
219,Gustav Siniväli,77,0,24
218,Timo Kalaus,38,0,9
337,Jürgen Ligi,6757,8,2523
339,Johannes Kert,752,2,322
341,Kristjan Kõljalg,714,0,302
338,Kalle Jents,704,0,218
345,Tõnu Juul,521,2,108
342,Madis Timpson,430,0,147
340,Peep Aru,416,0,158
344,Rait Pihelgas,409,0,159
462,Helir-Valdor Seeder,2908,7,928
463,Kaia Iva,1684,1,522
467,Ene Saar,463,1,164
464,Tiina Oraste,391,1,133
465,Ando Kiviberg,378,2,155
468,Lembit Kruuse,336,0,103
466,Priit Värk,313,1,102
470,Kalju Kertsmik,269,1,75
469,Marko Tiitus,82,0,20
540,Erno Ilsen,103,0,35
541,Ain Kuningas,80,0,24
569,Eduard Tanvel,17,0,1
652,Mati Ilisson,1075,0,386
653,Arlet Palmiste,519,0,205
654,Ain Ostra,170,0,62
655,Ilme Last,143,0,55
660,Mats Õun,128,1,59
656,Väino Rajangu,127,1,56
658,Olev Rahnu,104,0,34
657,Margus Sardis,62,1,32
659,Evi Kirschfeldt,40,0,14
777,Mailis Reps,2981,1,369
779,Kersti Sarapuu,1164,1,127
